customerid,churn_probability
5405935,0.9998962969482637
5354428,0.9205920135550761
5371059,0.8933284118276485
5261427,0.8887909909278143
5171639,0.8865100337236244
5371843,0.883490154062547
3804627,0.8832665270718586
5371754,0.8825142689310053
5275496,0.8821477089641343
5252271,0.881437542022967
5278946,0.880986123946485
5298790,0.8804081549653401
5249370,0.8799242444326663
3395119,0.8786401689112545
5305144,0.8786020526703298
5028985,0.877997067949122
5294821,0.8779740197352457
4117254,0.8779318427749291
5369805,0.8778889029824034
5260154,0.8775753753120522
5143093,0.8774736050496241
5163823,0.8765727781395312
5148696,0.8760730225545822
5166275,0.8760628239133644
5314898,0.8760356923397439
5326452,0.8759010168404245
5246792,0.8758767669662942
5167893,0.8757339280249434
4020560,0.8755542831699991
5314934,0.8750745364437105
5158856,0.8748079801384567
4620985,0.8746618014603149
1776058,0.8742349184044697
4672770,0.8739108870929087
5370014,0.87256982758632
3821885,0.8724530262894974
5142285,0.8716980514594217
5254828,0.8716617914918766
4549192,0.8713914615318981
5217769,0.8713171679592684
5297482,0.8709651484835272
5369058,0.8709139011640857
2072426,0.8705926463807644
5350087,0.8705793383244733
5202863,0.8701348957526297
5272965,0.86951530449203
5317185,0.8692967301151061
5329874,0.8688008905662493
5230493,0.8686796397987491
5298149,0.8684377769496225
4806513,0.867967498183251
5369389,0.8677378520084048
5304988,0.8676313835474223
5361205,0.8676284842161902
1924865,0.8675618186753777
5356758,0.8672791031502405
5366615,0.8672353183612125
5309098,0.8672184744212771
5355805,0.8667275490546451
4764232,0.8667081760756867
5297981,0.8666314088380647
5370196,0.8664094764069884
5277886,0.8659133667948216
5357398,0.8658655124341571
5357394,0.8658509242707003
5370697,0.8658497547322557
5279512,0.8657896581944746
5320396,0.8656760318813654
5359989,0.865599302874905
5305011,0.865487188807787
5296391,0.8653656605164959
5257984,0.8651273584574897
4045396,0.8650935659306219
5371973,0.8650354255802466
5154592,0.8650231562263696
5359105,0.8650028656014553
5167036,0.864658159526085
5258804,0.8646307299432484
5259478,0.8636962748524082
5363434,0.8636199701794689
5319108,0.8633692693147799
